Title,Teacher,Grade,Taken,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5,Academic-year
Deep learning pour l’amélioration du protocole IEEE802.11 DCF,BANABIREZ née ZERGUINE  Nadia,Maitre de conferences classe B,TRUE,RSD,IFIA,IDTW,GL,F3I,2021-2022
Amélioration basé sur l’apprentissage profond pour le support du flux temps réel dans les MANETs,BANABIREZ née ZERGUINE  Nadia,Maitre de conferences classe B,TRUE,RSD,IFIA,IDTW,GL,F3I,2021-2022
Assessment explanation approaches for black box models,DRIF  Ahlem,Maitre de conferences classe A,TRUE,IFIA,IDTW,F3I,RSD,GL,2021-2022
A deep learning model for recommendation,DRIF  Ahlem,Maitre de conferences classe A,TRUE,IFIA,F3I,IDTW,GL,RSD,2021-2022
Etude et gestion des phénomènes d’attente.,AMRANI  Lakhdar,Maitre assistant classe A,TRUE,IFIA,GL,F3I,IDTW,RSD,2021-2022
Analyse post-optimale en programmation linéaire.,AMRANI  Lakhdar,Maitre assistant classe A,FALSE,IFIA,GL,IDTW,F3I,RSD,2021-2022
Assistance à la spécification de propriétés temporelles,BOUAMARI  Abdelkader,Maitre assistant classe A,TRUE,IDTW,IFIA,RSD,GL,F3I,2021-2022
Model-checking via le web,BOUAMARI  Abdelkader,Maitre assistant classe A,TRUE,IDTW,RSD,GL,IFIA,F3I,2021-2022
comparaison d’algorithmes d’optimisation quantiques: les métaheuristiques quantiques QPSO et  QGA,ZAZOUA née DJEMAME  Safia,Maitre de conferences classe B,TRUE,IFIA,F3I,IDTW,GL,RSD,2021-2022
Amélioration d'images avec le Deep Learning,ZAZOUA née DJEMAME  Safia,Maitre de conferences classe B,TRUE,F3I,IFIA,IDTW,GL,RSD,2021-2022
Modelisation 3D d'un environnement virtuel,DOUAR  Amel,Maitre assistant classe A,TRUE,IDTW,F3I,IFIA,GL,RSD,2021-2022
extraction des informations pertinantes dans un texte,DOUAR  Amel,Maitre assistant classe A,TRUE,IFIA,IDTW,GL,F3I,RSD,2021-2022
An enhanced receiver-initiated MAC protocol for wireless sensor networks,GOUDJIL  Lakhdar,Maitre assistant classe A,TRUE,RSD,IDTW,IFIA,F3I,GL,2021-2022
A Receiver-Initiated Asynchronous Duty-Cycle MAC Protocol  for the Internet of Things,GOUDJIL  Lakhdar,Maitre assistant classe A,TRUE,RSD,IDTW,IFIA,F3I,GL,2021-2022
Sécurisation des images médicales,KHALFALLAH née HADI  Fairouz,Maitre de conferences classe B,TRUE,F3I,RSD,IDTW,GL,IFIA,2021-2022
L’apprentissage profond (Deep Learning) pour la classification automatique d’images par le contenu visuel,KHALFALLAH née HADI  Fairouz,Maitre de conferences classe B,TRUE,F3I,IFIA,RSD,GL,IDTW,2021-2022
Content Based Image Retrieval on Cloud Computing,KHALFALLAH née HADI  Fairouz,Maitre de conferences classe B,TRUE,F3I,RSD,IFIA,IDTW,GL,2021-2022
Un nouvel algorithme auto-stabilisant pour le calcul d’un ensemble dominant fort (Strong Dominating Set),GUELLATI  Nabil,Maitre de conferences classe B,TRUE,RSD,GL,IFIA,IDTW,F3I,2021-2022
A Modified Black Widow Optimization algorithm for multilevel thresholding image segmentation,SEMCHEDINE  Moussa,Maitre de conferences classe B,TRUE,F3I,IFIA,IDTW,RSD,GL,2021-2022
Tuning deep learning parameters using bio-inspired algorithm,SEMCHEDINE  Moussa,Maitre de conferences classe B,TRUE,IDTW,IFIA,F3I,RSD,GL,2021-2022
Modeling of gene regulatory networks: graphycal aproache,BRAHIM-SALEM  Fatiha,Maitre assistant classe A,TRUE,IDTW,F3I,IFIA,GL,RSD,2021-2022
Modeling of gene regulatory networks: Bayesian Networks,BRAHIM-SALEM  Fatiha,Maitre assistant classe A,TRUE,IDTW,F3I,IFIA,GL,RSD,2021-2022
"Megatron project, the hardware part",KARA  Abdelaziz,Maitre assistant classe A,FALSE,RSD,F3I,IDTW,IFIA,GL,2021-2022
"Megatron project, the software part",KARA  Abdelaziz,Maitre assistant classe A,FALSE,RSD,F3I,IDTW,IFIA,GL,2021-2022
Security and Privacy in Internet of Things : RPL Protool,MANSOURI  Houceme,Maitre de conferences classe A,TRUE,RSD,IDTW,IFIA,F3I,GL,2021-2022
Security and Privacy in Internet of Things : LOADng Protocol,MANSOURI  Houceme,Maitre de conferences classe A,TRUE,RSD,IDTW,IFIA,F3I,GL,2021-2022
Heart Failure Prediction Using Machine Learning Techniques,NASRI  Khaled,Maitre assistant classe B,TRUE,F3I,IDTW,IFIA,GL,RSD,2021-2022
Deep Learning Model for Brain Tumor Radiogenomic Classification,NASRI  Khaled,Maitre assistant classe B,TRUE,F3I,IFIA,GL,RSD,IDTW,2021-2022
Arabic Sentiment Analysis using Deep Learning for algerian dialect,TEBBANI  Fatiha,Maitre assistant classe A,TRUE,IFIA,IDTW,F3I,GL,RSD,2021-2022
Sentiment analysis based Machine learning for Algerian dialect,TEBBANI  Fatiha,Maitre assistant classe A,TRUE,IFIA,F3I,IDTW,GL,RSD,2021-2022
Routing Over Low power and Lossy networks.,KANOUNI  Lakhdar,Maitre assistant classe B,FALSE,RSD,IFIA,IDTW,GL,F3I,2021-2022
Le routage dans les réseaux LLNs.,KANOUNI  Lakhdar,Maitre assistant classe B,TRUE,RSD,IFIA,F3I,GL,IDTW,2021-2022
Problème de détection/couverture des frontières dans les RCFs,LAMRAOUI  Amar,Maitre assistant classe A,TRUE,RSD,IDTW,IFIA,F3I,,2021-2022
Implémentation d’un système de cordonnées virtuelles pour le routage dans les réseaux de capteurs sans fil.,LAMRAOUI  Amar,Maitre assistant classe A,TRUE,RSD,IDTW,IFIA,F3I,,2021-2022
Implementation of a real IoT system,LOUAIL  Lemia,Maitre de conferences classe A,TRUE,RSD,IFIA,IDTW,F3I,GL,2021-2022
Task scheduling for IoT systems,LOUAIL  Lemia,Maitre de conferences classe A,TRUE,RSD,IFIA,IDTW,GL,F3I,2021-2022
Cross-layer routing for wireless sensor networks,LOUAIL  Lemia,Maitre de conferences classe A,TRUE,RSD,IFIA,IDTW,GL,F3I,2021-2022
Arabic offensive language detection in social media,BESSOU  Sadik,Maitre de conferences classe A,TRUE,IDTW,F3I,IFIA,GL,RSD,2021-2022
Arabic Subjective Sentiment Analysis Using Machine Learning,BESSOU  Sadik,Maitre de conferences classe A,TRUE,IDTW,F3I,IFIA,GL,RSD,2021-2022
Development of an Android Application for Anthroponymic Studies,BESSOU  Sadik,Maitre de conferences classe A,TRUE,IDTW,F3I,IFIA,GL,RSD,2021-2022
Study of generator-based mining frequent itemsets algorithms,KARA Mohamed  Chafia,Maitre de conferences classe A,TRUE,F3I,IFIA,IDTW,RSD,GL,2021-2022
Firefly-based feature selection for Arabic text classification,KARA Mohamed  Chafia,Maitre de conferences classe A,TRUE,F3I,IFIA,IDTW,RSD,GL,2021-2022
Adaptive flow-level scheduling for the IoT MAC in HWSN,GHERBI  Chirihane,Maitre de conferences classe B,TRUE,RSD,IDTW,IFIA,F3I,GL,2021-2022
Mécanisme de contrôle de congestion dans  IoV,GHERBI  Chirihane,Maitre de conferences classe B,TRUE,RSD,IFIA,IDTW,F3I,GL,2021-2022
Protection de la vie privée dans le Cloud Computing,KACHA  Lynda,Maitre assistant classe A,TRUE,IFIA,RSD,F3I,IDTW,GL,2021-2022
Optimisation du processus d'anonymisation par les métaheuristiques inspirées de la nature,KACHA  Lynda,Maitre assistant classe A,TRUE,IFIA,RSD,F3I,IDTW,GL,2021-2022
Triggering Models: Measuring and Mitigating Bias in Arabic Language Generation,Harrag  Fouzi,Maitre de conferences classe A,TRUE,IDTW,F3I,IFIA,GL,RSD,2021-2022
Reducing toxicity in Arabic language generation models,Harrag  Fouzi,Maitre de conferences classe A,FALSE,F3I,IDTW,IFIA,GL,RSD,2021-2022
Using Multitask Unified Model (MUM) to improve search and NLU,Harrag  Fouzi,Maitre de conferences classe A,TRUE,IDTW,F3I,IFIA,GL,RSD,2021-2022
Towards a lightweight secure scheme for internet of things,Cherbal  Sara,Maitre de conferences classe A,TRUE,RSD,IDTW,IFIA,F3I,GL,2021-2022
Resource Management Approach in Fog Computing,Cherbal  Sara,Maitre de conferences classe A,TRUE,RSD,IDTW,IFIA,F3I,GL,2021-2022
Optimisation de la durée de vie dans les réseaux de capteurs sans fil par le K-couverture,BALBAL  Samir,Maitre de conferences classe B,TRUE,RSD,IFIA,IDTW,F3I,GL,2021-2022
métaheuritiques pour résoudre le problème du sac à dos multiple,BALBAL  Samir,Maitre de conferences classe B,TRUE,IFIA,F3I,IDTW,GL,RSD,2021-2022
Maximisation de la durée de vie des réseaux de capteurs sans fil par les ensembles dominants,BALBAL  Samir,Maitre de conferences classe B,TRUE,RSD,IFIA,F3I,IDTW,GL,2021-2022
Etude comparative d'apprentissage approfondi pour la détection d'intrusion,Frihia  hamza,Maitre de conferences classe B,TRUE,IFIA,F3I,IDTW,GL,RSD,2021-2022
Smart groupware to support collaborative medical diagnosis,Ferradji  mohamed,Maitre de conferences classe B,TRUE,IDTW,IFIA,F3I,RSD,GL,2021-2022
Adaptive Network-based Fuzzy Inference Systems (ANFIS) optimization based on Particle Swarm Optimization (PSO),Ferradji  mohamed,Maitre de conferences classe B,TRUE,IFIA,IDTW,F3I,RSD,GL,2021-2022
Filtrage des images médicales basé sur  l'EDP (EDP-based medical image filtering),BERRIMI  Fella,Maitre assistant classe A,TRUE,F3I,IFIA,GL,IDTW,RSD,2021-2022
Détection d'objets (piétons) basée sur HOG (HOG based object detection (pedestrians)),BERRIMI  Fella,Maitre assistant classe A,TRUE,F3I,IFIA,GL,IDTW,RSD,2021-2022
Path based approach for maximizing influence in signed social networks,BOURAS  IKRAM,Maitre assistant classe B,TRUE,IFIA,RSD,GL,IDTW,F3I,2021-2022
New variant of facility location problem in network design,BOURAS  IKRAM,Maitre assistant classe B,TRUE,IFIA,RSD,GL,IDTW,F3I,2021-2022
Approche bio-inspirée pour un routage adaptatif dans les MANETs,Kout  Akram,Maitre de conferences classe B) --> Hors département: Faculté de Biologie,TRUE,RSD,IFIA,GL,F3I,IDTW,2021-2022
Solution Bio-inspirée pour le routage dans les VANETs,Kout  Akram,Maitre de conferences classe B) --> Hors département: Faculté de Biologie,TRUE,RSD,IFIA,GL,F3I,IDTW,2021-2022
Planification automatique des cours en lignes basée sur les préférences des apprenants,Kosrane  Mohamed,Maitre assistant classe A) --> Hors département: Faculté d'économie,TRUE,GL,IFIA,IDTW,F3I,RSD,2021-2022
Estimation des précipitations à partir des images satellitaires en utilisant les réseaux de neurones profonds,Bouaita  Bilal,Maitre de conferences classe B) --> Hors département: Faculté de technologie,TRUE,F3I,GL,IFIA,IDTW,RSD,2021-2022
Intelligent Optimization Approaches for the QoS-Driven Services Composition Problem in Dynamic IoT Environments,SEGHIR  Fateh,Maitre de conferences classe B) --> Hors département: Faculté de technologie,TRUE,IFIA,IDTW,GL,F3I,RSD,2021-2022
machine learning in forestry using remote sensing data,CHERGUI  Nabila,Maitre de conferences classe B) --> Hors département: Faculté de technologie,TRUE,IFIA,F3I,IDTW,RSD,GL,2021-2022
HTTP-Get DoS Attack Detection using Ontology,Haddadi  Mohamed,"Maitre de conferences classe B) --> Hors département: Université de Boumerdes, Departement économie",TRUE,IFIA,RSD,IDTW,F3I,GL,2021-2022
HTTP flood DoS attack detection using data mining,Haddadi  Mohamed,"Maitre de conferences classe B) --> Hors département: Université de Boumerdes, Departement économie",TRUE,IDTW,IFIA,RSD,GL,F3I,2021-2022
Détecter les cyber-attaques en utilisant  data mining.techniques,Haddadi  Mohamed,"Maitre de conferences classe B) --> Hors département: Université de Boumerdes, Departement économie",TRUE,IDTW,IFIA,RSD,F3I,GL,2021-2022
Détection de la falsification des données multimédia,Benmessahel  Bilel,Maitre de conferences classe B) --> Hors département: Faculté de technologie,TRUE,F3I,IFIA,IDTW,GL,RSD,2021-2022
Sélection des caractéristiques  pour les données de grande dimension,Benmessahel  Bilel,Maitre de conferences classe B) --> Hors département: Faculté de technologie,FALSE,IFIA,IDTW,F3I,RSD,GL,2021-2022
Développement d’une application mobile sur le Cloud Computing pour la gestion de projet,Annane  Boubakeur,Maitre assistant classe B,TRUE,GL,RSD,IFIA,IDTW,F3I,2021-2022
Internet of Things Energy-Efficient routing protocol for eHealth systems,Zier  Abdelhak,Maitre assistant classe B,TRUE,RSD,IFIA,IDTW,F3I,GL,2021-2022
Authentification sécurisée dans l’internet des drones,Harbi  Yasmine,Maitre assistant classe B,TRUE,RSD,IFIA,IDTW,F3I,GL,2021-2022
Une approche de sélection des caractéristiques des composés dans les bases de données chimiques à la base d’un algorithme PSO pour améliorer les performances du processus du Criblage virtuel,BERRHAIL  Fouaz,Maitre de conferences classe B) --> Hors département: Faculte de technologie,TRUE,IFIA,IDTW,F3I,GL,,2021-2022
Réalisation d’un système de détection des maladies végétales au niveau des serres agricoles par l’utilisation des techniques de l’intelligence artificiel et le traitement d’images,BERRHAIL  Fouaz,Maitre de conferences classe B) --> Hors département: Faculte de technologie,TRUE,IDTW,IFIA,F3I,GL,RSD,2021-2022
Techniques de sélection de fonctionnalités par l’utilisation des algorithmes d'optimisation bio-inspirés avec apprentissage automatique,AYACHE  Farid,Maitre de conferences classe B) --> Hors département: Faculte de technologie,TRUE,IFIA,F3I,GL,IDTW,RSD,2021-2022
