Title,Teacher,Grade,Taken,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5,Academic-year
Segmentation des images médicales,BERRIMI  Fella,Maitre de conferences classe B,TRUE,F3I,IFIA,IDTW,GL,RSD,2022-2023
Système biométrique basé sur les empreintes digitales,BERRIMI  Fella,Maitre de conferences classe B,TRUE,F3I,IFIA,GL,IDTW,RSD,2022-2023
Community structure-based heuristic for influence optimization in social networks,BOURAS  IKRAM,Maitre de conferences classe B,FALSE,IFIA,IDTW,RSD,GL,F3I,2022-2023
Une solution intelligente basé IoT pour le smart farming,Kout  Akram,Maitre de conferences classe B) --> Hors département: Faculté de Biologie,TRUE,RSD,IFIA,F3I,GL,IDTW,2022-2023
Nouvelle approche d'extraction de connaissances par la méthode des règles d’association,Bouaita  Bilal,Maitre de conferences classe B) --> Hors département: Faculté de technologie,TRUE,IFIA,F3I,GL,IDTW,RSD,2022-2023
Web-based clinical decision support systems using artificial intelligent methods for medical diagnosis,SEGHIR  Fateh,Maitre de conferences classe A,TRUE,IFIA,GL,IDTW,F3I,RSD,2022-2023
The study of the phenomenon of desertification by Change Detection in Remote Sensing Data,SLIMANI  Yacine,Maitre de conferences classe B) --> Hors département: Faculté de technologie,TRUE,F3I,IFIA,IDTW,RSD,GL,2022-2023
Forests Tree Species Identification using deep learning,CHERGUI  Nabila,Maitre de conferences classe B) --> Hors département: Faculté de technologie,FALSE,F3I,IFIA,IDTW,RSD,GL,2022-2023
Dead Trees Detection Based on Machine Learning and Remote Sensing,CHERGUI  Nabila,Maitre de conferences classe B) --> Hors département: Faculté de technologie,TRUE,F3I,IFIA,IDTW,RSD,GL,2022-2023
DoS Attack Detection using Statistical Method,Haddadi  Mohamed,"Maitre de conferences classe B) --> Hors département: Université de Boumerdes, Departement économie",FALSE,RSD,IFIA,IDTW,F3I,GL,2022-2023
Big Data Filtering using Multithreading on High Performance Computing (HPC),Haddadi  Mohamed,"Maitre de conferences classe B) --> Hors département: Université de Boumerdes, Departement économie",TRUE,RSD,IDTW,IFIA,GL,F3I,2022-2023
Cyber-Attack Detection on Big Data using Deep Learning,Haddadi  Mohamed,"Maitre de conferences classe B) --> Hors département: Université de Boumerdes, Departement économie",TRUE,IFIA,RSD,IDTW,F3I,GL,2022-2023
Cyber-Attack Detection on IoT using Machine learning,Haddadi  Mohamed,"Maitre de conferences classe B) --> Hors département: Université de Boumerdes, Departement économie",TRUE,IFIA,RSD,IDTW,F3I,GL,2022-2023
Sélection des caractéristiques pour les données de grande dimension,Benmessahel  Bilel,Maitre de conferences classe B) --> Hors département: Faculté de technologie,FALSE,IFIA,IDTW,GL,F3I,RSD,2022-2023
Identification de la falsification des données multimédia,Benmessahel  Bilel,Maitre de conferences classe B) --> Hors département: Faculté de technologie,TRUE,IFIA,F3I,GL,IDTW,RSD,2022-2023
Système sémantique décentralisé d’un processus du suivi des malades basé sur la Blockchain et l’ontologie du domaine,Annane  Boubakeur,Maitre de conferences classe B,TRUE,GL,RSD,IDTW,IFIA,F3I,2022-2023
Blockchain et cryptage bio-informatique pour la protection efficace des données médicales dans le Cloud,Annane  Boubakeur,Maitre de conferences classe B,TRUE,GL,RSD,IFIA,IDTW,F3I,2022-2023
A QoS-aware IoT routing protocol for eHealth services,Zier  Abdelhak,Maitre assistant classe B,TRUE,RSD,IFIA,IDTW,GL,F3I,2022-2023
Cryptanalysis and Improvement of a Security Protocol in Medical Internet of Things,Harbi  Yasmine,Maitre assistant classe B,TRUE,RSD,IDTW,IFIA,F3I,GL,2022-2023
Développement d’une approche pour la prédiction de l'activité biologique des composés chimiques et l'amélioration des performances du processus de recherche dans les bases de données chimiques à la base de l’apprentissage profond,BERRHAIL  Fouaz,Maitre de conferences classe B) --> Hors département: Faculte de technologie,TRUE,IFIA,IDTW,F3I,GL,RSD,2022-2023
Une approche pour la détection de la cyber-intimidation (Cyberbullying) dans les réseaux sociaux à la base d’un modèle de l’apprentissage profond,BERRHAIL  Fouaz,Maitre de conferences classe B) --> Hors département: Faculte de technologie,TRUE,IFIA,IDTW,GL,F3I,RSD,2022-2023
Feature extraction and selection for face recognition with machine learning;    Extraction et sélection des fonctionnalités pour la reconnaissance faciale avec apprentissage automatique,AYACHE  Farid,Maitre de conferences classe B) --> Hors département: Faculte de technologie,TRUE,IFIA,F3I,GL,IDTW,RSD,2022-2023
Deep learning model for predicting cancer stage based on  genomic data,Lakehal  Abderrahim,Maitre assistant classe B,TRUE,F3I,IDTW,IFIA,GL,RSD,2022-2023
Efficient data communication in UAV networks,Medani   khadidja,Maitre de conferences classe B) --> Hors département: ,TRUE,RSD,IFIA,GL,F3I,IDTW,2022-2023
Machine learning-based routing approach in UAV networks,Medani   khadidja,Maitre de conferences classe B) --> Hors département: ,TRUE,RSD,IFIA,GL,F3I,IDTW,2022-2023
IoT for remote monitoring in Algeria,KHABABA  Abdallah,Professeur,TRUE,F3I,IDTW,IFIA,GL,RSD,2021-2022
"Development, Usability, and Efficiancy of a Serious Game in aiding to regain cognitive functions.",KHABABA  Abdallah,Professeur,TRUE,GL,IFIA,F3I,IDTW,RSD,2021-2022
Conception et Réalisation d’un système de réalité augmentée appliquée aux opérations sur les systèmes Industriels. (Ingénierie et outils numériques),KHABABA  Abdallah,Professeur,TRUE,F3I,RSD,IDTW,GL,IFIA,2021-2022
An IoT Based Mobile Augmented Reality Application for Energy Visualization,KHABABA  Abdallah,Professeur,TRUE,F3I,IDTW,GL,IFIA,RSD,2021-2022
Architecture d’un Système Nano Macro de Réseaux de Capteurs sans Fil connecté à IoT  pour une Agriculture Moderne,ALIOUAT  Makhlouf,Professeur,TRUE,RSD,IDTW,IFIA,GL,F3I,2021-2022
Distribution de Systèmes  de Coordination des Feux de Circulation dans une Ville Intelligentes,ALIOUAT  Makhlouf,Professeur,TRUE,RSD,IDTW,GL,IFIA,F3I,2021-2022
sequential pattern mining,KAMEL  Nadjet,Professeur,TRUE,IDTW,IFIA,RSD,F3I,GL,2021-2022
Utility Pattern Mining,KAMEL  Nadjet,Professeur,FALSE,IDTW,IFIA,RSD,F3I,GL,2021-2022
Vision Transformer Based Deep Learning Models for Plant Disease Detection and Diagnosis,MOUSSAOUI  Abdelouahab,Professeur,TRUE,F3I,IDTW,IFIA,GL,RSD,2021-2022
Attention-Based Deep Convolutional Neural Network Versus Transfer Learning for Medical Image Classification and Disease Diagnosis,MOUSSAOUI  Abdelouahab,Professeur,TRUE,F3I,IDTW,IFIA,GL,RSD,2021-2022
"Deep Feature Learning (Extraction and Generation) Using a Bidirectional LSTM-CNN and  Deep Generative Models (VAE, GAN) Applied to Physiological Signals (EEG/ECG) Classification",MOUSSAOUI  Abdelouahab,Professeur,TRUE,F3I,IDTW,IFIA,GL,RSD,2021-2022
Transformer-based Deep Learning Techniques for Speech Emotion Recognition and Sentiment Analysis,MOUSSAOUI  Abdelouahab,Professeur,TRUE,F3I,IDTW,IFIA,GL,RSD,2021-2022
Innovative Deep Neural Network Models for Multilingual Translation,MOUSSAOUI  Abdelouahab,Professeur,TRUE,IDTW,F3I,IFIA,GL,RSD,2021-2022
